STT,Trạm,Thời điểm,Chỉ tiêu,Thời gian,Giá trị,Đơn vị,Giới hạn
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 03/02/2026","Nhiệt Độ","12:00","23.21","oC","0 - 42"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 03/02/2026","Mực Nước","12:00","30.73","m","0 - 34"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 03/02/2026","Lưu Lượng","12:00","95.65","m3/h",""
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 03/02/2026","Tổng Lưu Lượng","12:00","3,569,722.75","m3",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 03/02/2026","Nhiệt Độ","11:00","27.00","oC","0 - 42"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 03/02/2026","Mực Nước","11:00","28.67","m","0 - 34"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 03/02/2026","Lưu Lượng","11:00","90.36","m3/h",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","3,800,952.50","m3",""
3,"TRẠM BƠM 22","11:00 - 03/02/2026","Nhiệt Độ","11:00","37.34","oC","0 - 42"
3,"TRẠM BƠM 22","11:00 - 03/02/2026","Mực Nước","11:00","28.04","m","0 - 34"
3,"TRẠM BƠM 22","11:00 - 03/02/2026","Lưu Lượng","11:00","113.48","m3/h",""
3,"TRẠM BƠM 22","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","4,176,069.25","m3",""
4,"TRẠM BƠM 26","11:00 - 03/02/2026","Nhiệt Độ","11:00","34.04","oC","0 - 42"
4,"TRẠM BƠM 26","11:00 - 03/02/2026","Mực Nước","11:00","32.24","m","0 - 34"
4,"TRẠM BƠM 26","11:00 - 03/02/2026","Lưu Lượng","11:00","82.27","m3/h",""
4,"TRẠM BƠM 26","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","539,039.56","m3",""
5,"TRẠM BƠM 4","11:00 - 03/02/2026","Nhiệt Độ","11:00","0.00","oC","0 - 42"
5,"TRẠM BƠM 4","11:00 - 03/02/2026","Mực Nước","11:00","31.03","m","0 - 34"
5,"TRẠM BƠM 4","11:00 - 03/02/2026","Lưu Lượng","11:00","92.58","m3/h",""
5,"TRẠM BƠM 4","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","4,108,961.50","m3",""
6,"TRẠM BƠM 16","12:00 - 03/02/2026","Nhiệt Độ","12:00","0.00","oC","0 - 42"
6,"TRẠM BƠM 16","12:00 - 03/02/2026","Mực Nước","12:00","28.83","m","0 - 34"
6,"TRẠM BƠM 16","12:00 - 03/02/2026","Lưu Lượng","12:00","51.38","m3/h",""
6,"TRẠM BƠM 16","12:00 - 03/02/2026","Tổng Lưu Lượng","12:00","2,663,263.25","m3",""
7,"TRẠM BƠM 20","11:00 - 03/02/2026","Nhiệt Độ","11:00","37.70","oC","0 - 42"
7,"TRẠM BƠM 20","11:00 - 03/02/2026","Mực Nước","11:00","30.75","m","0 - 34"
7,"TRẠM BƠM 20","11:00 - 03/02/2026","Lưu Lượng","11:00","82.29","m3/h",""
7,"TRẠM BƠM 20","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","3,221,581.25","m3",""
8,"TRẠM BƠM 23","11:00 - 03/02/2026","Nhiệt Độ","11:00","36.48","oC","0 - 42"
8,"TRẠM BƠM 23","11:00 - 03/02/2026","Mực Nước","11:00","29.40","m","0 - 34"
8,"TRẠM BƠM 23","11:00 - 03/02/2026","Lưu Lượng","11:00","81.68","m3/h",""
8,"TRẠM BƠM 23","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","3,628,882.00","m3",""
9,"TRẠM BƠM 12","11:00 - 03/02/2026","Nhiệt Độ","11:00","38.39","oC","0 - 42"
9,"TRẠM BƠM 12","11:00 - 03/02/2026","Mực Nước","11:00","32.46","m","0 - 34"
9,"TRẠM BƠM 12","11:00 - 03/02/2026","Lưu Lượng","11:00","85.31","m3/h",""
9,"TRẠM BƠM 12","11:00 - 03/02/2026","Tổng Lưu Lượng","11:00","127,188.00","m3",""
10,"TRẠM BƠM 21","11:00 - 03/02/2026","Nhiệt Độ","11:00","37.80","oC","0 - 42"
10,"TRẠM BƠM 21","11:00 - 03/02/2026","Mực Nước","11:00","30.64","m","0 - 34"
10,"TRẠM BƠM 21","11:00 - 03/02/2026","Lưu Lượng","11:00","99.41","m3/h",""
